id,symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_price,tp_price,size,pnl_pips,exit_reason,entry_signal_data,created_at,entry_model,signal_timeframe
306,GBPUSD,long,2026-02-19 16:05:45.356363,1.34527000,2026-02-19 18:35:36.235029,1.34621000,1.34227000,1.34827000,0.4200,9.40,model_exit,,2026-02-19 18:35:36.399426,Hybrid_V4 + Stoch_RSI_long_20_30,
307,USDCAD,short,2026-02-19 18:00:16.03492,1.36964000,2026-02-19 18:35:36.461425,1.36935000,1.37264000,1.36664000,0.0200,2.90,model_exit,,2026-02-19 18:35:36.570872,Hybrid_V4 + MACD_Stoch_short,
308,EURCAD,long,2026-02-19 18:30:33.013331,1.61170000,2026-02-19 19:05:52.33339,1.61135000,1.60870000,1.61470000,0.2100,-3.50,model_exit,,2026-02-19 19:05:52.434102,Hybrid_V4 + MACD_cross_long,
309,GBPUSD,long,2026-02-19 18:00:16.019794,1.34528000,2026-02-19 20:05:55.304672,1.34550000,1.34228000,1.34828000,0.3300,2.20,model_exit,,2026-02-19 20:05:55.491876,Hybrid_V4 + Stoch_RSI_long_15_30,
310,USDCAD,long,2026-02-19 18:00:16.036122,1.36964000,2026-02-19 20:35:09.884347,1.36939000,1.36664000,1.37264000,0.0600,-2.50,model_exit,,2026-02-19 20:35:10.007579,Hybrid_V4 + SMA20_50_BB_long,
311,GBPUSD,long,2026-02-19 20:00:52.506076,1.34538000,2026-02-19 22:05:53.711333,1.34619000,1.34218000,1.34818000,0.2900,8.10,model_exit,,2026-02-19 22:05:53.816699,Hybrid_V4 + Stoch_RSI_long_20_30,
312,GBPUSD,long,2026-02-19 20:06:56.627988,1.34569000,2026-02-19 22:35:07.169274,1.34598000,1.34260000,1.34860000,0.3100,2.90,model_exit,,2026-02-19 22:35:07.28607,Hybrid_V4 + RSI_oversold_long,
313,EURCAD,short,2026-02-19 20:00:52.652208,1.61144000,2026-02-19 23:05:21.562061,1.61125000,1.61454000,1.60854000,0.1900,1.90,model_exit,,2026-02-19 23:05:21.70598,Hybrid_V4 + SMA20_50_BB_short,
314,EURCAD,long,2026-02-19 18:00:16.0393,1.61131000,2026-02-20 00:05:50.366553,1.61069000,1.60831000,1.61431000,0.2200,-6.20,model_exit,,2026-02-20 00:05:50.520098,Hybrid_V4 + SMA20_50_Stoch_long,
315,EURCAD,long,2026-02-19 23:05:21.852796,1.61125000,2026-02-20 00:05:50.366553,1.61069000,1.60789000,1.61389000,0.1800,-5.60,model_exit,,2026-02-20 00:05:50.596247,Hybrid_V4 + MACD_Stoch_long,
316,USDCAD,long,2026-02-19 22:09:55.364218,1.36855000,2026-02-20 00:35:05.191875,1.36896000,1.36523000,1.37123000,0.2000,4.10,model_exit,,2026-02-20 00:35:05.320948,Hybrid_V4 + SMA20_50_BB_long,
317,USDCAD,long,2026-02-20 02:00:44.132986,1.36984000,2026-02-20 08:52:51.240081,1.36902000,1.36675000,1.37275000,0.2000,-8.20,model_exit,,2026-02-20 08:52:51.450982,Hybrid_V4 + SMA20_50_BB_long,
318,USDCAD,long,2026-02-19 20:00:52.592126,1.37008000,2026-02-20 08:52:51.240081,1.36902000,1.36710000,1.37310000,0.2100,-10.60,model_exit,,2026-02-20 08:52:51.552207,Hybrid_V4 + SMA20_50_MACD_long,
319,EURCAD,long,2026-02-20 00:00:48.101201,1.61115000,2026-02-20 08:52:51.609911,1.61013000,1.60783000,1.61383000,0.1900,-10.20,model_exit,,2026-02-20 08:52:51.72834,Hybrid_V4 + SMA20_50_Stoch_long,
320,USDCAD,short,2026-02-20 09:00:59.521859,1.36895000,2026-02-20 09:35:18.657772,1.36862000,1.37203000,1.36603000,0.1900,3.30,model_exit,,2026-02-20 09:35:18.853068,Hybrid_V4 + MACD_Stoch_short,
321,GBPUSD,long,2026-02-20 09:00:59.506158,1.34535000,2026-02-20 10:05:34.231993,1.34685000,1.34230000,1.34830000,0.2900,15.00,model_exit,,2026-02-20 10:05:34.355687,Hybrid_V4 + MACD_Stoch_long,
322,EURCAD,long,2026-02-20 09:30:15.604641,1.61028000,2026-02-20 10:05:34.533607,1.61066000,1.60720000,1.61320000,0.1900,3.80,model_exit,,2026-02-20 10:05:34.661837,Hybrid_V4 + MACD_cross_long,
323,EURCAD,short,2026-02-20 00:00:48.103146,1.61084000,2026-02-20 11:06:00.095155,1.61021000,1.61383000,1.60783000,0.1900,6.30,model_exit,,2026-02-20 11:06:00.301859,Hybrid_V4 + SMA20_50_BB_short,
324,USDCAD,long,2026-02-20 10:00:31.094725,1.36907000,2026-02-20 14:05:45.4391,1.36942000,1.36591000,1.37191000,0.2000,3.50,model_exit,,2026-02-20 14:05:45.697501,Hybrid_V4 + SMA20_50_BB_long,
325,GBPUSD,long,2026-02-20 12:01:29.431007,1.34706000,2026-02-20 14:35:01.702005,1.34703000,1.34387000,1.34987000,0.2900,-0.30,model_exit,,2026-02-20 14:35:01.845149,Hybrid_V4 + Stoch_RSI_long_20_35,
326,GBPUSD,long,2026-02-20 12:02:30.256128,1.34718000,2026-02-20 14:35:01.702005,1.34703000,1.34403000,1.35003000,0.2900,-1.50,model_exit,,2026-02-20 14:35:02.020072,Hybrid_V4 + Stoch_RSI_long_20_35,
327,GBPUSD,long,2026-02-20 12:00:28.262722,1.34717000,2026-02-20 15:02:17.062645,1.35014000,1.34408000,1.35008000,0.2800,29.70,tp_hit,,2026-02-20 15:02:17.072493,Hybrid_V4 + Stoch_RSI_long_15_35,
328,EURCAD,short,2026-02-20 12:00:28.332744,1.61032000,2026-02-20 15:05:19.521687,1.61103000,1.61331000,1.60731000,0.1800,-7.10,model_exit,,2026-02-20 15:05:19.69084,Hybrid_V4 + SMA20_50_BB_short,
329,EURCAD,long,2026-02-20 12:00:28.328094,1.61062000,2026-02-20 15:13:23.189282,1.61333000,1.60731000,1.61331000,0.1800,27.10,tp_hit,,2026-02-20 15:13:23.200976,Hybrid_V4 + SMA20_50_Stoch_long,
330,USDCAD,long,2026-02-20 16:00:07.990811,1.36771000,2026-02-20 18:05:53.420097,1.36797000,1.36483000,1.37083000,0.0500,2.60,model_exit,,2026-02-20 18:05:53.604987,Hybrid_V4 + SMA20_50_BB_long,H2
331,USDCAD,long,2026-02-20 17:00:21.975296,1.36913000,2026-02-20 18:05:53.420097,1.36797000,1.36603000,1.37203000,0.2200,-11.60,model_exit,,2026-02-20 18:05:54.587977,Hybrid_V4 + MACD_Stoch_long,H1
332,EURCAD,short,2026-02-20 16:00:08.010746,1.61204000,2026-02-20 18:05:54.658237,1.61216000,1.61512000,1.60912000,0.2300,-1.20,model_exit,,2026-02-20 18:05:54.754708,Hybrid_V4 + SMA20_50_BB_short,H2
333,USDCAD,short,2026-02-20 18:30:06.135566,1.36818000,2026-02-20 19:05:22.589853,1.36808000,1.37128000,1.36528000,0.2000,1.00,model_exit,,2026-02-20 19:05:22.768322,Hybrid_V4 + MACD_Stoch_short,M30
344,EURCAD,long,2026-02-23 01:00:22.981515,1.61599000,2026-02-23 01:35:32.781221,1.61514000,1.61279000,1.61879000,0.1900,-8.50,model_exit,,2026-02-23 01:35:32.925055,Hybrid_V4 + MACD_cross_long,M30
345,USDCAD,long,2026-02-23 00:00:07.361868,1.36512000,2026-02-23 02:35:26.807505,1.36625000,1.36194000,1.36794000,0.1100,11.30,model_exit,,2026-02-23 02:35:27.020536,Hybrid_V4 + SMA20_50_BB_long,H2
346,EURCAD,short,2026-02-23 00:00:07.367746,1.61484000,2026-02-23 02:35:27.073675,1.61613000,1.61821000,1.61221000,0.2100,-12.90,model_exit,,2026-02-23 02:35:27.181611,Hybrid_V4 + SMA20_50_BB_short,H2
347,EURCAD,short,2026-02-23 02:00:17.51923,1.61577000,2026-02-23 04:35:00.421062,1.61594000,1.61889000,1.61289000,0.1900,-1.70,model_exit,,2026-02-23 04:35:00.700203,Hybrid_V4 + SMA20_50_RSI_Stoch_BB_short,H2
348,EURCAD,long,2026-02-23 04:00:49.591852,1.61625000,2026-02-23 05:05:10.483647,1.61574000,1.61316000,1.61916000,0.1900,-5.10,model_exit,,2026-02-23 05:05:10.576013,Hybrid_V4 + SMA20_50_BB_long,H1
349,EURCAD,short,2026-02-23 04:00:49.593608,1.61597000,2026-02-23 06:35:35.667968,1.61639000,1.61916000,1.61316000,0.2200,-4.20,model_exit,,2026-02-23 06:35:35.815745,Hybrid_V4 + SMA20_50_BB_short,H2
350,EURCAD,long,2026-02-23 06:00:24.807767,1.61565000,2026-02-23 07:05:46.425515,1.61583000,1.61261000,1.61861000,0.1800,1.80,model_exit,,2026-02-23 07:05:46.529603,Hybrid_V4 + SMA20_50_BB_long,H1
351,USDCAD,long,2026-02-23 04:00:49.588335,1.36722000,2026-02-23 07:35:56.120722,1.36691000,1.36412000,1.37012000,0.1200,-3.10,model_exit,,2026-02-23 07:35:56.29445,Hybrid_V4 + SMA20_50_BB_long,H2
352,USDCAD,long,2026-02-23 00:01:07.870982,1.36527000,2026-02-23 08:14:59.204602,1.36641000,1.36214000,1.36814000,0.2100,11.40,model_exit,,2026-02-23 08:14:59.408625,Hybrid_V4 + SMA20_50_MACD_long,H8
353,EURUSD,short,2026-02-23 00:00:07.355388,1.18308000,2026-02-23 09:17:37.118115,1.18041000,1.18641000,1.18041000,0.3100,26.70,tp_hit,,2026-02-23 09:17:37.126123,Hybrid_V4 + SMA20_50_Stoch_BB_short,H4
354,EURCAD,short,2026-02-23 06:00:24.810461,1.61536000,2026-02-23 09:35:43.535159,1.61389000,1.61861000,1.61261000,0.2100,14.70,model_exit,,2026-02-23 09:35:43.629967,Hybrid_V4 + SMA20_50_RSI_Stoch_BB_short,H2
355,USDCAD,long,2026-02-23 10:00:52.472148,1.36717000,2026-02-23 12:05:27.529928,1.36886000,1.36410000,1.37010000,0.1300,16.90,model_exit,,2026-02-23 12:05:27.645838,Hybrid_V4 + SMA20_50_BB_long,H2
356,EURCAD,short,2026-02-23 10:00:52.480839,1.61308000,2026-02-23 12:14:31.91822,1.61334000,1.61622000,1.61022000,0.2500,-2.60,model_exit,,2026-02-23 12:14:32.00851,Hybrid_V4 + SMA20_50_BB_short,H2
357,USDCHF,short,2026-02-23 13:31:52.298763,0.77515000,2026-02-23 14:05:01.424761,0.77501000,0.77817000,0.77217000,0.3100,1.40,model_exit,,2026-02-23 14:05:01.596021,Hybrid_V4 + RSI_BB_confluence_short,M30
358,EURCAD,long,2026-02-23 09:03:31.327858,1.61395000,2026-02-23 15:35:40.58362,1.61445000,1.61075000,1.61675000,0.1800,5.00,model_exit,,2026-02-23 15:35:40.772555,Hybrid_V4 + SMA20_50_BB_long,H1
359,USDCHF,short,2026-02-23 13:30:51.663148,0.77508000,2026-02-23 15:35:40.820376,0.77395000,0.77817000,0.77217000,0.3100,11.30,model_exit,,2026-02-23 15:35:40.932229,Hybrid_V4 + BB_RSI_Volume_short,M30
360,USDCAD,long,2026-02-23 14:00:59.74271,1.36791000,2026-02-23 16:35:57.170442,1.36828000,1.36471000,1.37071000,0.2000,3.70,model_exit,,2026-02-23 16:35:57.300565,Hybrid_V4 + SMA20_50_BB_long,H2
