rate_time,open,high,low,close,volume,readable_date
1762189200,1.15252000,1.15320000,1.15215000,1.15309000,6676.00000000,2025-11-03 17:00:00
1762192800,1.15309000,1.15379000,1.15267000,1.15273000,4833.00000000,2025-11-03 18:00:00
1762358400,1.14876000,1.14876000,1.14701000,1.14793000,13101.00000000,2025-11-05 16:00:00
1762909200,1.15868000,1.15869000,1.15790000,1.15794000,3184.00000000,2025-11-12 01:00:00
1764698400,1.15954000,1.16080000,1.15929000,1.16073000,5391.00000000,2025-12-02 18:00:00
1762524000,1.15560000,1.15698000,1.15559000,1.15676000,7903.00000000,2025-11-07 14:00:00
1762527600,1.15677000,1.15788000,1.15656000,1.15740000,8089.00000000,2025-11-07 15:00:00
1762531200,1.15737000,1.15912000,1.15714000,1.15718000,10301.00000000,2025-11-07 16:00:00
1762534800,1.15717000,1.15823000,1.15714000,1.15777000,5766.00000000,2025-11-07 17:00:00
1762538400,1.15777000,1.15821000,1.15715000,1.15805000,4496.00000000,2025-11-07 18:00:00
1762542000,1.15805000,1.15836000,1.15677000,1.15683000,3351.00000000,2025-11-07 19:00:00
1762545600,1.15683000,1.15729000,1.15556000,1.15596000,4172.00000000,2025-11-07 20:00:00
1765789200,1.17283000,1.17389000,1.17265000,1.17312000,5643.00000000,2025-12-15 09:00:00
1765792800,1.17312000,1.17436000,1.17306000,1.17434000,4876.00000000,2025-12-15 10:00:00
1765796400,1.17434000,1.17467000,1.17391000,1.17427000,3612.00000000,2025-12-15 11:00:00
1765800000,1.17427000,1.17501000,1.17413000,1.17489000,3039.00000000,2025-12-15 12:00:00
1765803600,1.17488000,1.17594000,1.17485000,1.17529000,3956.00000000,2025-12-15 13:00:00
1765807200,1.17529000,1.17599000,1.17472000,1.17475000,5366.00000000,2025-12-15 14:00:00
1765810800,1.17474000,1.17642000,1.17441000,1.17636000,7382.00000000,2025-12-15 15:00:00
1765814400,1.17637000,1.17689000,1.17548000,1.17630000,9907.00000000,2025-12-15 16:00:00
1765818000,1.17629000,1.17649000,1.17523000,1.17556000,7083.00000000,2025-12-15 17:00:00
1765821600,1.17555000,1.17559000,1.17451000,1.17459000,4493.00000000,2025-12-15 18:00:00
