id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,stoch_k,stoch_d,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
741619,GBPUSD,H6,2015-03-27 18:00:00+00,1.48977000,1.49089000,1.48617000,1.48700000,13068.00000000,1.48941700,1.48507800,1.51477045,1.48815568,1.48815293,1.49149099,48.57260211,37.53799392,44.00540358,0.00750597,1.49630502,1.48941700,1.48252898,0.00000275,0.00011613,-0.00011338,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741620,GBPUSD,H6,2015-03-29 18:00:00+00,1.48826000,1.48902000,1.48810000,1.48888000,899.00000000,1.48913050,1.48499120,1.51465905,1.48797789,1.48806753,1.49131487,50.93368699,47.06180344,45.39007092,0.00730697,1.49559430,1.48913050,1.48266670,-0.00008964,0.00007498,-0.00016462,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741621,GBPUSD,H6,2015-03-30 00:00:00+00,1.48887000,1.49003000,1.48513000,1.48572000,11017.00000000,1.48885100,1.48469760,1.51452975,1.48811667,1.48812771,1.49121939,47.02559095,31.05369807,38.55116515,0.00692933,1.49539657,1.48885100,1.48230543,-0.00001104,0.00005778,-0.00006882,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741622,GBPUSD,H6,2015-03-30 06:00:00+00,1.48571000,1.48654000,1.48012000,1.48344000,21486.00000000,1.48834950,1.48459420,1.51437635,1.48774795,1.48794936,1.49100373,44.37967136,19.50354610,32.53968254,0.00678438,1.49493944,1.48834950,1.48175956,-0.00020141,0.00000594,-0.00020735,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741623,GBPUSD,H6,2015-03-30 12:00:00+00,1.48344000,1.48385000,1.47527000,1.47875000,28530.00000000,1.48745250,1.48439420,1.51420345,1.48708519,1.48761533,1.49070711,39.46114763,14.46384040,21.67369486,0.00675835,1.49414026,1.48745250,1.48076474,-0.00053014,-0.00010128,-0.00042886,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741624,GBPUSD,H6,2015-03-30 18:00:00+00,1.47873000,1.48425000,1.47810000,1.47996000,16573.00000000,1.48674950,1.48426900,1.51401360,1.48580285,1.48695864,1.49023820,41.26961529,19.49293433,17.82010694,0.00688847,1.49348377,1.48674950,1.48001523,-0.00115579,-0.00031218,-0.00084361,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741625,GBPUSD,H6,2015-03-31 00:00:00+00,1.47996000,1.48151000,1.47790000,1.47798000,13361.00000000,1.48603250,1.48416480,1.51387890,1.48490395,1.48644023,1.48983514,39.20570718,11.26350790,15.07342754,0.00683572,1.49327603,1.48603250,1.47878897,-0.00153627,-0.00055700,-0.00097927,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741626,GBPUSD,H6,2015-03-31 06:00:00+00,1.47798000,1.47949000,1.47545000,1.47729000,23450.00000000,1.48552950,1.48424220,1.51376160,1.48383873,1.48581354,1.48937023,38.48343261,8.39567747,13.05070657,0.00660531,1.49367786,1.48552950,1.47738114,-0.00197481,-0.00084056,-0.00113425,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741627,GBPUSD,H6,2015-03-31 12:00:00+00,1.47729000,1.48710000,1.47613000,1.48476000,29240.00000000,1.48554950,1.48445800,1.51368905,1.48283123,1.48518217,1.48889649,49.36022818,49.04392765,22.90103767,0.00642208,1.49368824,1.48554950,1.47741076,-0.00235094,-0.00114264,-0.00120830,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741628,GBPUSD,H6,2015-03-31 18:00:00+00,1.48475000,1.48617000,1.48159000,1.48236000,13445.00000000,1.48538450,1.48460220,1.51360780,1.48312797,1.48515090,1.48873428,46.51462882,42.12715389,33.18891967,0.00674693,1.49364055,1.48538450,1.47712845,-0.00202293,-0.00131870,-0.00070423,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
